internalField   nonuniform List<vector> 
106488
(
(0.158311 -0.00300878 -0.00504546)
(0.195795 -0.000719379 -0.00152521)
(0.199553 -0.000772737 -0.000935851)
(0.205174 -0.00057009 -0.000413893)
(0.208588 -0.00042312 -0.000159475)
(0.210852 -0.000332364 -3.22792e-05)
(0.212455 -0.000267895 3.43793e-05)
(0.21362 -0.000220834 6.83381e-05)
(0.214492 -0.000185724 8.45938e-05)
(0.215161 -0.000158962 9.09969e-05)
(0.215696 -0.000137861 9.17468e-05)
(0.216146 -0.000120408 8.91138e-05)
(0.216531 -0.000105542 8.44901e-05)
(0.216864 -9.27443e-05 7.88187e-05)
(0.217153 -8.16634e-05 7.26993e-05)
(0.217405 -7.20316e-05 6.65108e-05)
(0.217625 -6.36309e-05 6.0488e-05)
(0.217818 -5.62833e-05 5.47692e-05)
(0.217988 -4.98433e-05 4.9427e-05)
(0.218137 -4.41857e-05 4.44962e-05)
(0.218269 -3.92033e-05 3.99865e-05)
(0.218386 -3.48072e-05 3.58888e-05)
(0.218489 -3.09224e-05 3.21829e-05)
(0.21858 -2.74849e-05 2.8843e-05)
(0.218661 -2.444e-05 2.58406e-05)
(0.218733 -2.17402e-05 2.31463e-05)
(0.218797 -1.93443e-05 2.07314e-05)
(0.218853 -1.72164e-05 1.85684e-05)
(0.218904 -1.53251e-05 1.66315e-05)
(0.218948 -1.36429e-05 1.48972e-05)
(0.218988 -1.21458e-05 1.33439e-05)
(0.219023 -1.08132e-05 1.19524e-05)
(0.219055 -9.62203e-06 1.07078e-05)
(0.219083 -8.5604e-06 9.59089e-06)
(0.219107 -7.61417e-06 8.58912e-06)
(0.219129 -6.76968e-06 7.68937e-06)
(0.219149 -6.01522e-06 6.8813e-06)
(0.219166 -5.33939e-06 6.15664e-06)
(0.219181 -4.73524e-06 5.5069e-06)
(0.219195 -4.19515e-06 4.92609e-06)
(0.219206 -3.71272e-06 4.40847e-06)
(0.219217 -3.28201e-06 3.94995e-06)
(0.219226 -2.8982e-06 3.54934e-06)
(0.219234 -2.55862e-06 3.2053e-06)
(0.219241 -2.25948e-06 2.91955e-06)
(0.219247 -1.99862e-06 2.69718e-06)
(0.219253 -1.77574e-06 2.54483e-06)
(0.219257 -1.58987e-06 2.47183e-06)
(0.219261 -1.44397e-06 2.49466e-06)
(0.219264 -1.34281e-06 2.63466e-06)
(0.219267 -1.29323e-06 2.92e-06)
(0.219269 -1.30427e-06 3.38919e-06)
(0.219271 -1.39033e-06 4.09257e-06)
(0.219273 -1.57433e-06 5.09383e-06)
(0.219274 -1.8889e-06 6.4721e-06)
(0.219275 -2.38032e-06 8.3233e-06)
(0.219277 -3.11707e-06 1.07556e-05)
(0.219279 -4.20198e-06 1.38753e-05)
(0.219283 -5.78848e-06 1.77554e-05)
(0.219291 -8.12235e-06 2.23654e-05)
(0.219305 -1.1627e-05 2.74728e-05)
(0.219333 -1.72428e-05 3.27923e-05)
(0.219387 -2.71843e-05 3.62278e-05)
(0.219526 -4.99437e-05 2.4497e-05)
(0.220089 -0.000104857 -6.36244e-05)
(0.219729 -0.000113512 -0.000234688)
(0.231514 -0.00110212 -0.00219797)
(0.215214 -0.000745644 -0.00960392)
(0.42874 -0.010295 -0.0125327)
(0.504463 -0.00397527 -0.00484526)
(0.516137 -0.00319222 -0.00311744)
(0.529384 -0.00235406 -0.0017378)
(0.53771 -0.00175805 -0.00099592)
(0.543314 -0.00137657 -0.000583624)
(0.547311 -0.00111048 -0.000340173)
(0.550237 -0.00091814 -0.000193228)
(0.552438 -0.000775445 -0.000102655)
(0.554135 -0.000666829 -4.62667e-05)
(0.555497 -0.000580457 -1.07067e-05)
(0.556644 -0.000508195 1.19842e-05)
(0.557633 -0.000446327 2.61697e-05)
(0.558488 -0.000393014 3.45504e-05)
(0.559232 -0.000346827 3.89848e-05)
(0.559882 -0.000306634 4.07619e-05)
(0.560451 -0.000271522 4.0779e-05)
(0.56095 -0.000240745 3.96592e-05)
(0.56139 -0.000213692 3.78338e-05)
(0.561778 -0.000189854 3.56025e-05)
(0.56212 -0.0001688 3.31718e-05)
(0.562424 -0.000150169 3.06808e-05)
(0.562692 -0.000133658 2.82214e-05)
(0.56293 -0.000119009 2.58519e-05)
(0.563142 -0.000105997 2.36078e-05)
(0.56333 -9.44296e-05 2.15082e-05)
(0.563496 -8.41395e-05 1.95611e-05)
(0.563645 -7.49796e-05 1.77672e-05)
(0.563776 -6.68211e-05 1.61224e-05)
(0.563893 -5.95511e-05 1.46199e-05)
(0.563998 -5.3071e-05 1.32512e-05)
(0.56409 -4.72932e-05 1.20071e-05)
(0.564172 -4.21339e-05 1.08823e-05)
(0.564246 -3.75327e-05 9.86306e-06)
(0.564311 -3.34289e-05 8.94285e-06)
(0.564368 -2.9766e-05 8.11349e-06)
(0.56442 -2.64981e-05 7.36929e-06)
(0.564465 -2.35807e-05 6.70634e-06)
(0.564505 -2.09821e-05 6.12069e-06)
(0.564541 -1.86712e-05 5.61032e-06)
(0.564573 -1.66213e-05 5.17467e-06)
(0.564601 -1.48097e-05 4.81513e-06)
(0.564625 -1.32173e-05 4.53747e-06)
(0.564647 -1.18311e-05 4.34914e-06)
(0.564666 -1.06417e-05 4.2611e-06)
(0.564683 -9.64276e-06 4.29012e-06)
(0.564697 -8.83333e-06 4.45842e-06)
(0.56471 -8.21929e-06 4.79324e-06)
(0.564721 -7.81507e-06 5.33582e-06)
(0.564731 -7.64441e-06 6.13611e-06)
(0.564739 -7.74184e-06 7.25897e-06)
(0.564746 -8.15682e-06 8.78738e-06)
(0.564753 -8.96318e-06 1.08243e-05)
(0.564759 -1.02678e-05 1.34944e-05)
(0.564765 -1.22205e-05 1.69442e-05)
(0.564771 -1.50325e-05 2.13348e-05)
(0.564779 -1.9011e-05 2.68192e-05)
(0.564791 -2.46017e-05 3.34904e-05)
(0.564808 -3.24537e-05 4.12807e-05)
(0.564834 -4.35385e-05 4.97531e-05)
(0.564878 -5.94046e-05 5.77856e-05)
(0.564956 -8.39832e-05 6.32513e-05)
(0.565108 -0.00012745 5.71806e-05)
(0.565471 -0.000218854 8.05188e-08)
(0.566717 -0.000415599 -0.00026251)
(0.566627 -0.000687203 -0.000880433)
(0.590456 -0.00347111 -0.00575526)
(0.561144 -0.00631602 -0.0231195)
(0.671107 -0.0186737 -0.018397)
